token,namespace,count
MED_INSULIN,medication,46651
MED_0_9_SODIUM_CHLORIDE,medication,40012
MED_SODIUM_CHLORIDE_0_9_FLUSH,medication,36837
MED_5_DEXTROSE,medication,20275
MED_BAG,medication,19418
MED_SENNA,medication,18840
MED_HYDROMORPHONE_DILAUDID,medication,17756
MED_ISO_OSMOTIC_DEXTROSE,medication,16759
MED_OXYCODONE_IMMEDIATE_RELEASE,medication,16441
MED_LACTATED_RINGERS,medication,13953
MED_SODIUM_CHLORIDE_0_9,medication,12063
MED_DEXTROSE_50,medication,8850
MED_VIAL,medication,8537
MED_POLYETHYLENE_GLYCOL,medication,7570
MED_SW,medication,6933
MED_POTASSIUM_CHLORIDE_REPLACEMENT_CRITICAL_CARE_AND_ONCOLOGY,medication,6188
MED_GLUCOSE_GEL,medication,5851
MED_HEPARIN_FLUSH_10_UNITS_ML,medication,5668
MED_0_9_SODIUM_CHLORIDE_MINI_BAG_PLUS,medication,5383
MED_NS,medication,4994
MED_INFLUENZA_VACCINE_QUADRIVALENT,medication,4833
MED_ALBUTEROL_0_083_NEB_SOLN,medication,4711
MED_NEUTRA_PHOS,medication,4696
MED_METOPROLOL_SUCCINATE_XL,medication,4396
MED_D5_1_2NS,medication,4282
MED_MULTIVITAMINS,medication,4161
MED_D5W,medication,3797
DX_9_2724,diagnosis,3677
MED_ISO_OSMOTIC_SODIUM_CHLORIDE,medication,3622
DX_10_Z87891,diagnosis,3454
MED_INFLUENZA_VIRUS_VACCINE,medication,3430
MED_MILK_OF_MAGNESIA,medication,3197
MED_PIPERACILLIN_TAZOBACTAM,medication,2901
MED_LIDOCAINE_5_PATCH,medication,2767
MED_SOLN,medication,2615
MED_CIPROFLOXACIN_HCL,medication,2469
MED_LR,medication,2347
DX_9_25000,diagnosis,2344
MED_POTASSIUM_CHL_20_MEQ_1000_ML_D5_1_2_NS,medication,2291
MED_DEXTROSE_5,medication,2105
MED_METRONIDAZOLE_FLAGYL,medication,2035
MED_ALBUMIN_25_12_5G_50ML,medication,2033
DX_9_41401,diagnosis,2020
MED_HEPARIN_DWELL_1000_UNITS_ML,medication,1963
DX_9_311,diagnosis,1961
MED_PNEUMOCOCCAL_VAC_POLYVALENT,medication,1931
DX_10_Z20822,diagnosis,1828
MED_CHLORHEXIDINE_GLUCONATE_0_12_ORAL_RINSE,medication,1826
MED_ASPIRIN_EC,medication,1822
MED_OXYCODONE_ACETAMINOPHEN,medication,1793
DX_9_V1582,diagnosis,1777
MED_POTASSIUM_CHLORIDE_POWDER,medication,1756
MED_METHYLPREDNISOLONE_SODIUM_SUCC,medication,1655
MED_ALUMINUM_MAGNESIUM_HYDROX_SIMETHICONE,medication,1643
MED_LIDOCAINE_1,medication,1638
MED_LIDOCAINE_1_FOR_PICC_MIDLINE_INSERTIONS,medication,1636
DX_10_Z7901,diagnosis,1620
MED_IPRATROPIUM_ALBUTEROL_NEB,medication,1604
DX_10_Z794,diagnosis,1509
MED_PNEUMOCOCCAL_23_VALENT_POLYSACCHARIDE_VACCINE,medication,1502
MED_SYRINGE,medication,1501
MED_TRAMADOL_ULTRAM,medication,1497
DX_10_E119,diagnosis,1492
MED_LIDOCAINE_JELLY_2_GLYDO,medication,1357
MED_MULTIVITAMINS_W_MINERALS,medication,1355
MED_FLUTICASONE_PROPIONATE_NASAL,medication,1349
MED_NICOTINE_PATCH,medication,1348
MED_ISOSORBIDE_MONONITRATE_EXTENDED_RELEASE,medication,1336
MED_HEPARIN_FLUSH_100_UNITS_ML,medication,1335
DX_9_V5861,diagnosis,1270
DX_10_F17210,diagnosis,1270
MED_ALTEPLASE_CATHETER_CLEARANCE,medication,1267
MED_0_45_SODIUM_CHLORIDE,medication,1257
MED_OXYCODONE_SR_OXYCONTIN,medication,1215
MED_NITROGLYCERIN_SL,medication,1202
DX_9_40390,diagnosis,1197
MED_CYANOCOBALAMIN,medication,1192
MED_SYRINGE_0_9_SODIUM_CHLORIDE,medication,1191
MED_INSULIN_HUMAN_REGULAR,medication,1186
MED_ENOXAPARIN_PROPHYLAXIS,medication,1173
MED_SULFAMETH_TRIMETHOPRIM_SS,medication,1161
DX_10_I4891,diagnosis,1154
MED_DOCUSATE_SODIUM_LIQUID,medication,1147
DX_10_Y929,diagnosis,1137
MED_SARNA_LOTION,medication,1128
MED_1_2_NS,medication,1126
MED_OLANZAPINE_DISINTEGRATING_TABLET,medication,1081
DX_10_Z7902,diagnosis,1062
DX_9_49390,diagnosis,1061
DX_9_V5867,diagnosis,1049
MED_HYDROCORTISONE_NA_SUCC,medication,1031
DX_10_E1122,diagnosis,1018
DX_10_Z66,diagnosis,992
MED_NEOMYCIN_POLYMYXIN_BACITRACIN,medication,971
MED_METFORMIN_GLUCOPHAGE,medication,965
MED_SULFAMETH_TRIMETHOPRIM_DS,medication,956
MED_AMPICILLIN_SULBACTAM,medication,950
MED_LIDOCAINE_JELLY_2_UROJET,medication,940
MED_FLUTICASONE_PROPIONATE_110MCG,medication,922
DX_9_V4582,diagnosis,891
MED_LATANOPROST_0_005_OPHTH_SOLN,medication,869
MED_ONDANSETRON_ODT,medication,862
MED_OXYCODONE_ACETAMINOPHEN_5MG_325MG,medication,860
MED_POTASSIUM_CHLORIDE_REPLACEMENT_ONCOLOGY,medication,853
DX_10_G8929,diagnosis,844
DX_10_Z955,diagnosis,841
MED_FLUTICASONE_SALMETEROL_DISKUS_250_50,medication,838
DX_9_V5866,diagnosis,823
DX_9_496,diagnosis,822
MED_VANCOMYCIN_ORAL_LIQUID,medication,818
MED_ALBUMIN_5_12_5G_250ML,medication,817
MED_READI_CAT_2_BARIUM_SULFATE_2_SUSPENSION,medication,811
MED_D5NS,medication,808
MED_MORPHINE_SR_MS_CONTIN,medication,807
MED_DILTIAZEM_EXTENDED_RELEASE,medication,802
MED_AMOXICILLIN_CLAVULANIC_ACID,medication,797
DX_10_I130,diagnosis,781
DX_10_Z8673,diagnosis,775
MED_MORPHINE_SULFATE_IR,medication,749
MED_ARTIFICIAL_TEARS,medication,742
DX_10_J9601,diagnosis,735
MED_ACETYLCYSTEINE_20,medication,733
DX_9_V4581,diagnosis,729
MED_SODIUM_CHLORIDE_NASAL,medication,723
DX_10_Z86718,diagnosis,717
MED_ACETAMINOPHEN_CAFF_BUTALBITAL,medication,711
MED_ACETAMINOPHEN_LIQUID,medication,707
DX_9_33829,diagnosis,702
MED_LANSOPRAZOLE_ORAL_DISINTEGRATING_TAB,medication,689
MED_NEPHROCAPS,medication,677
DX_9_41400,diagnosis,676
MED_PRISMASATE_B32_K2,medication,676
MED_OXYCODONE_LIQUID,medication,674
MED_INFLUENZA_VACCINE_HIGH_DOSE_QUADRIVALENT,medication,671
MED_VENLAFAXINE_XR,medication,668
MED_ALBUMIN_5_25G_500ML,medication,663
MED_MICONAZOLE_POWDER_2,medication,630
MED_BUPIVACAINE_0_1,medication,628
MED_VASOPRESSIN,medication,619
DX_9_486,diagnosis,610
DX_10_Z951,diagnosis,610
MED_D5LR,medication,607
MED_BUPROPION_SUSTAINED_RELEASE,medication,596
MED_SCOPOLAMINE_PATCH,medication,596
MED_FENTANYL_PATCH,medication,594
DX_10_Y92230,diagnosis,590
DX_10_E1165,diagnosis,580
DX_9_V1251,diagnosis,579
DX_9_60000,diagnosis,568
MED_NS_MINI_BAG_PLUS,medication,567
MED_5_DEXTROSE_EXCEL_BAG,medication,566
DX_10_Z515,diagnosis,560
DX_9_V270,diagnosis,553
MED_CEPACOL_SORE_THROAT_LOZENGE,medication,544
DX_9_V1254,diagnosis,541
DX_10_Z86711,diagnosis,531
MED_IPRATROPIUM_BROMIDE_MDI,medication,523
MED_CHLORASEPTIC_THROAT_SPRAY,medication,513
DX_9_42789,diagnosis,513
DX_10_Z23,diagnosis,509
